,ar,ru,es,en,fr,de,zh,ja,ko
ADJ,6478,2025,1909.0,1843,1768.0,864.0,599.0,413.0,384
ADP,9696,2101,4637.0,3455,4648.0,1911.0,842.0,6914.0,270
ADV,212,552,735.0,771,952.0,918.0,1586.0,249.0,1617
AUX,453,195,727.0,941,816.0,583.0,,3129.0,281
CCONJ,4660,549,836.0,863,711.0,462.0,390.0,144.0,823
DET,1227,288,3462.0,2529,3564.0,2017.0,218.0,144.0,102
INTJ,2,3,4.0,4,,,1.0,,2
NOUN,18683,5286,4926.0,5316,5788.0,3458.0,7280.0,11505.0,5610
NUM,374,136,166.0,195,145.0,65.0,1025.0,90.0,122
PART,405,173,6.0,455,,94.0,2006.0,148.0,13
PRON,2712,425,977.0,1038,1122.0,612.0,408.0,121.0,139
PROPN,69,1529,3124.0,3807,2136.0,1404.0,1913.0,1659.0,1129
PUNCT,7486,3428,2922.0,3480,2812.0,2093.0,4212.0,3191.0,2415
SCONJ,510,221,412.0,351,231.0,157.0,24.0,1004.0,687
SYM,283,32,25.0,36,1.0,,,561.0,19
VERB,4727,1690,1986.0,2563,2138.0,1195.0,4743.0,3323.0,1933
X,7161,320,,46,50.0,65.0,146.0,,512
