lang,n_text_per_lang,mean_tokens_per_text,n_text_under_100_tokens,ratio_text_under_100_tokens,n_lang,n_text
ar,548,118.86496350364963,45,0.5456204379562044,9,4948
en,550,50.35090909090909,19,0.9727272727272728,9,4948
zh,550,46.16909090909091,396,0.9563636363636364,9,4948
de,550,28.905454545454546,103,1.0,9,4948
ko,550,29.196363636363635,303,0.9927272727272727,9,4948
es,550,48.82545454545455,31,0.9654545454545455,9,4948
ja,550,59.263636363636365,298,0.9018181818181819,9,4948
ru,550,34.46,74,0.9872727272727273,9,4948
fr,550,48.876363636363635,25,0.9727272727272728,9,4948
Global,4948,51.629749393694425,1294,0.261519805982215,9,4948
