,ar,ru,es,en,fr,de,zh,ko,ja
ADJ,6478,2313,2078.0,1728,1710.0,946.0,600.0,555,431.0
ADP,9696,2394,5218.0,3382,4369.0,2065.0,820.0,360,6766.0
ADV,212,662,848.0,659,835.0,1015.0,1498.0,2336,258.0
AUX,453,209,827.0,984,774.0,638.0,,390,3037.0
CCONJ,4660,643,883.0,855,634.0,520.0,335.0,1080,131.0
DET,1227,352,3876.0,2398,3265.0,2125.0,203.0,147,143.0
INTJ,2,1,3.0,3,,,1.0,2,
NOUN,18683,6155,5471.0,5066,5475.0,3648.0,7170.0,7707,11128.0
NUM,374,144,178.0,170,137.0,80.0,985.0,179,87.0
PART,405,259,5.0,411,,117.0,2016.0,15,143.0
PRON,2712,436,1040.0,954,953.0,693.0,344.0,210,130.0
PROPN,69,1919,3713.0,3721,1815.0,1637.0,1704.0,1464,1559.0
PUNCT,7486,3797,3308.0,3293,2587.0,2302.0,4139.0,3261,3204.0
SCONJ,510,243,491.0,309,202.0,148.0,18.0,958,959.0
SYM,283,27,34.0,27,2.0,,,23,575.0
VERB,4727,2009,2159.0,2419,1996.0,1302.0,4577.0,2687,3182.0
X,7161,396,,31,49.0,98.0,137.0,727,
